Name,Text,URL
BIRTH OF VENUS,"Birth of Venus, painting by Sandro Botticelli completed about 1485.
Birth of Venus is one of the most famous paintings in the world. It was painted by Alessandro di Mariano Filipepi, known as Sandro Botticelli, who was an Italian painter of the Florentine School. He served an apprenticeship under Fra Filippo Lippi, the best Florentine painter of that time. Botticelli made his name with his painting Allegory of Fortitude (1470), and he was subsequently commissioned to paint Birth of Venus for Lorenzo the Magnificent of the Medici family. In mythology, Venus was conceived when the Titan Cronus castrated his father, the god Uranus, whose severed genitals fertilized the sea.
Birth of Venus depicts the moment when, having emerged from the sea in a shell, Venus lands at Paphos in Cyprus. She is attended by two winds who blow her toward the shore, while a nymph is poised to wrap a cloak, decorated with spring flowers, around Venus to cover her nudity. The stance of Venus is believed to be based on classical statuary, which was highly prized in Florence at that time. Despite the unusual proportions of her body—the elongated neck and her overlong left arm—Venus is an arrestingly beautiful figure with her delicate skin and soft-flowing curls fresh from the sea. She is born to the world as the goddess of beauty, and the viewer is witness to this act of creation. She steps off a gilded scallop shell, the winds shower her with roses—each with a golden heart—and the orange blossom on the tree behind her is also tipped with gold. Historically, this is the most important depicted nude since classical antiquity.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\BIRTH OF VENUS.txt
GIRL WITH A PEARL EARRING,"Girl with a Pearl Earring, oil painting on canvas (c. 1665) by Dutch artist Johannes Vermeer, one of his most well-known works. It depicts an imaginary young woman in exotic dress and a very large pearl earring. The work permanently resides in the Mauritshuis museum in The Hague.
An observant and deliberate painter, Vermeer produced only 36 known works in his lifetime, while many of his contemporaries completed hundreds. Like his peers, he mostly depicted scenes of ordinary life, later called “genre” painting, often of women at daily tasks. Notable examples included Girl Reading a Letter at an Open Window (c. 1657) and The Music Lesson (c. 1665). He occasionally signed his paintings. While Girl with a Pearl Earring bears “IVMeer,” it is undated. Historians believe Vermeer painted the small piece (17.52 × 15.35 inches [44.5 × 39 cm]) around 1665, during the period in which he executed a group of paintings with a shared pearl motif.
Girl with a Pearl Earring represents a young woman in a dark shallow space, an intimate setting that draws the viewer’s attention exclusively on her. She wears a blue and gold turban, the titular pearl earring, and a gold jacket with a visible white collar beneath. Unlike many of Vermeer’s subjects, she is not concentrating on a daily chore and unaware of her viewer. Instead, caught in a fleeting moment, she turns her head over her shoulder, meeting the viewer’s gaze with her eyes wide and lips parted as if about to speak. Her enigmatic expression coupled with the mystery of her identity has led some to compare her to the equivocal subject in Leonardo da Vinci’s Mona Lisa (c. 1503–19). Unlike the Mona Lisa, however, Girl with a Pearl Earring is not a portrait but a tronie, a Dutch term for a character or type of person. A young woman might have sat for Vermeer, but the painting is not meant to portray her or any specific individual in the same way that Leonardo’s piece portrayed an existing person (likely Lisa Gherardini, the wife of a Florentine merchant). Vermeer’s subject is a generic young woman in exotic dress, a study in facial expression and costume. The work attests to Vermeer’s technical expertise and interest in representing light. The soft modeling of the subject’s face reveals his mastery of using light rather than line to create form, while the reflection on her lips and on the earring show his concern for representing the effect of light on different surfaces.
Although now a highly regarded artist, Vermeer was not well known outside of his native city of Delft during his lifetime or in the decades after. Historians credit the 19th-century French critic Étienne-Joseph-Théophile-Thoré (under the pseudonym of William Bürger) for reassessing the artist’s work, which eventually led to Vermeer’s distinguished reputation. Even so, Girl with a Pearl Earring became one of Vermeer’s more famous pieces only around the turn of the 21st century, with the 1995 blockbuster exhibition at the National Gallery of Art in Washington, D.C., and the publication of the best-selling novel Girl with a Pearl Earring by Tracy Chevalier in 1999. The book fashioned the painting’s subject into a housemaid named Griet who works in Vermeer’s home and becomes his paint mixer. It was adapted into an Oscar-nominated film in 2003 starring Scarlett Johansson as the fictional Griet and Colin Firth as Vermeer.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\GIRL WITH A PEARL EARRING.txt
MONA LISA,"The painting presents a woman in half-body portrait, which has as a backdrop a distant landscape. Yet this simple description of a seemingly standard composition gives little sense of Leonardo’s achievement. The three-quarter view, in which the sitter’s position mostly turns toward the viewer, broke from the standard profile pose used in Italian art and quickly became the convention for all portraits, one used well into the 21st century. The subject’s softly sculptural face shows Leonardo’s skillful handling of sfumato (use of fine shading) and reveals his understanding of the musculature and the skull beneath the skin. The delicately painted veil, the finely wrought tresses, and the careful rendering of folded fabric demonstrate Leonardo’s studied observations and inexhaustible patience. Moreover, the sensuous curves of the sitter’s hair and clothing are echoed in the shapes of the valleys and rivers behind her. The sense of overall harmony achieved in the painting—especially apparent in the sitter’s faint smile—reflects Leonardo’s idea of the cosmic link connecting humanity and nature, making this painting an enduring record of Leonardo’s vision. In its exquisite synthesis of sitter and landscape, the Mona Lisa set the standard for all future portraits.
There has been much speculation and debate regarding the identity of the portrait’s sitter. Scholars and historians have posited numerous interpretations, including that she is Lisa del Giocondo (née Gherardini), the wife of the Florentine merchant Francesco di Bartolomeo del Giocondo, hence the alternative title to the work, La Gioconda. That identity was first suggested in 1550 by artist biographer Giorgio Vasari. Another theory was that the model may have been Leonardo’s mother, Caterina. That interpretation was put forth by, among others, Sigmund Freud, who seemed to think that the Mona Lisa’s mysterious smile emerged from a—perhaps unconscious—memory of Caterina’s smile. A third suggestion was that the painting was, in fact, Leonardo’s self-portrait, given the resemblance between the sitter’s and the artist’s facial features. Some scholars suggested that disguising himself as a woman was the artist’s riddle. The sitter’s identity has not been definitively proven. Numerous attempts in the 21st century to settle the debate by seeking Lisa del Giocondo’s remains to test her DNA and recreate an image of her face were inconclusive.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\MONA LISA.txt
STARRY NIGHT,"The Starry Night, a moderately abstract landscape painting (1889) of an expressive night sky over a small hillside village, one of Dutch artist Vincent van Gogh’s most celebrated works.
The oil-on-canvas painting is dominated by a night sky roiling with chromatic blue swirls, a glowing yellow crescent moon, and stars rendered as radiating orbs. One or two cypress trees, often described as flame-like, tower over the foreground to the left, their dark branches curling and swaying to the movement of the sky that they partly obscure. Amid all this animation, a structured village sits in the distance on the lower right of the canvas. Straight controlled lines make up the small cottages and the slender steeple of a church, which rises as a beacon against rolling blue hills. The glowing yellow squares of the houses suggest the welcoming lights of peaceful homes, creating a calm corner amid the painting’s turbulence.
Van Gogh painted The Starry Night during his 12-month stay at the Saint-Paul-de-Mausole asylum near Saint-Rémy-de-Provence, France, several months after suffering a breakdown in which he severed a part of his own ear with a razor. While at the asylum, he painted during bursts of productivity that alternated with moods of despair. As an artist who preferred working from observation, van Gogh was limited to the subjects that surrounded him—his own likeness, views outside his studio window, and the surrounding countryside that he could visit with a chaperone.
Although van Gogh’s subjects were restricted, his style was not. He experimented with the depiction of various weather conditions and changing light, often painting the wheat fields nearby under a bright summer sun or dark storm clouds. Van Gogh was also particularly preoccupied by the challenges of painting a night landscape and wrote about it not only to his brother, Theo, but to a fellow painter, Émile Bernard, and to his sister, Willemien. In a letter addressed to the latter, he alleged that night was more colourful than day and that stars were more than simple white dots on black, instead appearing yellow, pink, or green. By the time van Gogh arrived at Saint-Rémy, he had already painted a few night scenes, including Starry Night (Rhône) (1888). In that work, stars appear in bursts of yellow against a blue-black sky and compete with both the glowing gas lamps below and their reflection in the Rhône River.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\STARRY NIGHT.txt
THE LAST SUPPER,"The subject of the Last Supper was a popular choice for the refectory walls of monasteries and convents in 15th-century Italy, whereby nuns and monks could have their meals in the presence of Jesus’ final repast. Leonardo’s version appears neatly arranged, with Jesus at the centre of an extensive table and the Apostles to his left and right. He wears the traditional red and blue robes and has a beard, but Leonardo did not imbue him with the customary halo. Some scholars have proposed that the light from the window behind him serves this role or that the implied lines of the pediment above the window create the illusion of a halo. Other scholars have argued that the missing attribute may also suggest that Jesus is still a human being, who, as such, will endure the pain and suffering of the Passion.
The scene is not a frozen moment but rather a representation of successive moments. Jesus has declared his forthcoming betrayal, and the Apostles react. Philip, who stands in the group to Jesus’ left, gestures toward himself and seems to say, “Surely not I, Lord?” Jesus seems to reply, “The one who has dipped his hand into the bowl with me will betray me” (Matthew 26:23). Simultaneously, Jesus and Judas, who sits with the group to Jesus’ right, reach toward the same dish on the table between them, an act that marks Judas as the betrayer. Jesus also gestures toward a glass of wine and a piece of bread, suggesting the establishment of the Holy Communion rite.
Jesus’ serene composure, with his head and eyes lowered, contrasts with the agitation of the Apostles. Their varying postures rise, fall, extend, and intertwine while remaining organized in groups of three. James the Greater, to Christ’s left, throws his arms out angrily while the disbelieving Thomas, crouched behind James, points upward and seems to ask, “Is this God’s plan?” His gesture anticipates his later reunion with the resurrected Christ, a moment that was often represented in art with Thomas using his fingers to touch Christ’s wounds from the crucifixion to quell his doubts. Peter, who is identified by the knife in his hand that he will later use to sever the ear of a soldier attempting to arrest Jesus, moves toward the mild-tempered John, who sits to Jesus’ right and appears to swoon. Judas, gripping the purse that contains his reward for identifying Jesus, recoils from Peter, seemingly alarmed at the other Apostle’s quick action.The rest of the Apostles appear to whisper, grieve, and debate among themselves.
The meal takes place within an almost austere room so that the viewer focuses on the action taking place in the foreground. Dark tapestries line the walls on either side, while the back wall is dominated by three windows that look out on an undulating landscape recalling Milan’s countryside. Leonardo represented the space by using linear perspective, a technique rediscovered in the Renaissance that employs parallel lines that converge at a single vanishing point to create the illusion of depth on a flat surface. He placed the vanishing point at Jesus’s right temple, thus drawing the viewer’s attention toward the main subject. Although linear perspective seems like a systemized method of creating the illusion of space, it is complicated by its reliance on a single vantage point. Any viewing position other than the vantage point reveals a slightly distorted painted space. Later, scholars discovered that the vantage point for the Last Supper is about 15 feet (4.57 metres) above ground. Leonardo likely chose this relatively high height because the painting’s bottom edge is 8 feet (2.44 metres) above ground and using a vantage from the floor would have meant viewers would only have been able to see the underside of the table, not the action taking place above. Consequently, the painted space of the Last Supper always appears sightly at odds with the refectory space. It is one of many visual paradoxes scholars have observed about the painting. They have also noted that the table is far too large to fit in the depicted room, yet it is not large enough to seat the 13 men, at least not along the three sides where they are placed. The scene, so seemingly simple and organized, is a puzzling resolution to the challenge of creating the illusion of three-dimensional space on a flat surface.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\THE LAST SUPPER.txt
БЕЗОПАСНОСТЬ ПРИМЕНЕНИЯ НЕЖИВЫХ АДЪЮВАНТНЫХ И БЕЗАДЪЮВАНТНЫХ ПРОТИВОГРИППОЗНЫХ ВАКЦИН,"Грипп остается одним из самых распространенных инфекционных заболеваний, при котором сохраняется высокий риск развития осложнений, угрожающих жизни пациента (в группе риска беременные женщины, дети до 18 лет, лица пожилого возраста). Ранее главным направлением совершенствования противогриппозных вакцин было повышение их безопасности [8]. От цельновирионных вакцин был совершен переход к сплит-вакцинам, а от сплит-вакцин - к субъединичным. Высокая очистка антигенов привела к проблеме снижения иммуногенности гриппозных вакцин. Начался активный поиск иммуноадъювантов [9]. Адъювант, это вещество, способное неспецифически усиливать иммунный ответ на антиген, введенный совместно с ним. Слово адъювант произошло от латинского adjuvare и означает помогать или усиливать [12]. Вакцины семейства «Гриппол» (адъювантные, содержащие Полиоксидоний - азоксимера бромид) характеризуются высокой иммуногенностью и малой реактогенностью [3], однако некоторые ученые [4;5] задаются вопросом, зависят ли данные свойства вакцины от наличия в составе такого спорного химического соединения, как азоксимера бромид; другие ученые [11] считают наличие данного адъюванта в вакцине серьезным преимуществом по сравнению с другими препаратами - высоки детоксицирующие, антиоксидантные и мембраностабилизирующие свойства Полиоксидония, что делает его идеальным препаратом для лечения и профилактики хронических инфекционных процессов. Вакцина «Совигрипп», содержащая адъювант Совидон (сополимер N-винилпирролидона и 2-метил- 5-винилпиридина), характеризуется стабильно высоким процентом формирования защитных титров антител, а адъювант характерен иммуномодулирующим и антиоксидантным действием. До его использования в вакцинах Совидон проходил лабораторные и доклинические исследования, но не масштабные мультицентровые клинические испытания [1]. При этом, данные, полученные в ходе клинических исследований с участием добровольцев 18-60 лет, показали, что инактивированная гриппозная вакцина «Совидон» по профилю безопасности ииммуногенности сопоставима и по ряду показателей превосходит существующую на рынке вакцину того же типа Гриппол (адъювантая, содержащая Полиоксидоний). Однако, вакцины без адъювантов также показывают высокий уровень формирования защитных титров антител, одновременно с этим, не следует игнорировать существование таких показателей как реактогенность, безопасность и иммуногенность вакцины, их необходимо учитывать при выборе противогриппозной вакцины для вакцинации [6]. Выбор вакцины против любого заболевания, в том числе и против гриппа, должен осуществляться в соответствии с принципами персонализированной медицины, то есть быть основанным на индивидуальных особенностях вакцинируемого.
Адъюванты на протяжении десятилетий применяются для улучшения иммунного ответа на вакцинные антигены [10]. Включение адъювантов в состав вакцин направлено на усиление, ускорение и продление специфического иммунного ответа до желаемого уровня [7]. Таким образом, адъюванты могут играть ключевую роль в получении эффективного и длительного иммунитета. Необходимо проведение дальнейших исследований в области повышения эффективности вакцинации, одним из направлений которых является использование в качестве адъювантов лекарственных препаратов на основе рекомбинантных цитокинов человека [2].",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\БЕЗОПАСНОСТЬ ПРИМЕНЕНИЯ НЕЖИВЫХ АДЪЮВАНТНЫХ И БЕЗАДЪЮВАНТНЫХ ПРОТИВОГРИППОЗНЫХ ВАКЦИН.txt
КОМОРБИДНОСТЬ КРАСНОГО ПЛОСКОГО ЛИШАЯ И МЕТАБОЛИЧЕСКОГО СИНДРОМА,"Было исследовано 40 пациентов с КПЛ: 26 (65%%) пациентов женского пола и 14 (35%%) — мужского, которые находились на лечении в УЗ «Гомельский областной кожно-венерический диспансер» в период с 2020 по 2022 год. Возраст пациентов составил от 28 до 84 лет.
 Критериями диагностики МС являлись абдоминальное ожирение, повышение холестерола в крови, повышение триглицеридов, повышение артериального давления, повышение уровня глюкозы натощак.
В группу исследования включались пациенты с красным плоским лишаем, давшие добровольное согласие на участие в исследовании. При этом в проводимых исследованиях участие не принимали пациенты детского возраста, беременные женщины, пациенты с онкологическими заболеваниями и пациенты, давшие отказ на проведение исследования.
При проведении исследования учитывалось наличие у пациентов таких сопутствующих заболеваний, как АГ, СД, ожирение, а также оценивался уровень холестерина в крови.  
У всех пациентов также проводились антропометрические измерения (рост, вес) и рассчитывался индекс массы тела (ИМТ).  по формуле ИМТ = m / h, где m — масса тела в килограммах, h — рост в метрах.
Статистическая обработка данных проводилась с использованием пакета прикладных программ “Statistica” 10.0. При нормальном распределении признака данные представлялись в виде среднего арифметического и стандартного отклонения среднего арифметического (M±SD). Статистически значимыми являлись показатели при значении р <0,05.
По результатам исследования отклонение от нормы ИМТ наблюдалось у 35 (87,5%) пациентов.  
Самой распространённой сопутствующей патологией оказалась АГ. Стоит отметить, что повышение артериального давления до 130/85 мм рт. ст. и выше наблюдалось у 34 (85%) пациентов: у 13 (32,5%) пациентов была выявлена артериальная гипертензия первой степени, у 16 (40%) пациентов — второй и у 5 (12,5%) — третьей степени. Ишемическая болезнь сердца была выявлена у 10 (25%) пациентов, СД 2 типа — у 8 (20%) пациентов. Избыточная масса тела была отмечена у 13 (32,5%) пациентов, ожирение 1 типа — у 17 (42,5%) пациентов, ожирение 2 типа — у 2 (5%) и ожирение 3 типа — у 3 (7,5%) пациентов.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\КОМОРБИДНОСТЬ КРАСНОГО ПЛОСКОГО ЛИШАЯ И МЕТАБОЛИЧЕСКОГО СИНДРОМА.txt
ОСОБЕННОСТИ САМОСОХРАНИТЕЛЬНОГО ПОВЕДЕНИЯ ПОДРОСТКОВ,"Здоровье детей и подростков в любом обществе и при любых социально-экономических условиях является актуальной проблемой, предметом первоочередной важности, поскольку оно определяет будущее страны, генофонд нации и экономический потенциал общества. Именно в подростковый период наиболее активно формируется система жизненных установок индивида, формируются стереотипы поведения, привычки, влияющие на здоровье.
Возрастание роли поведенческого фактора в формировании здоровья человека обуславливает актуальность формирования так называемого самосохранительного поведения, представляющего собой систему определенных действий и мировоззренческих установок личности, направленных на сохранение здоровья и продление жизни [1, с. 155].
За последние годы в России произошло значительное качественное ухудшение здоровья школьников. По данным исследований, лишь 10% выпускников школ могут считаться здоровыми, 40% имеют различную хроническую патологию. У каждого второго школьника выявлено сочетание нескольких хронических заболеваний Особенно неблагоприятная ситуация со здоровьем учащихся отмечается в школах нового типа (гимназии, колледжи, лицеи, школы с углубленным изучением предметов и др.), учебный процесс в которых характеризуется повышенной интенсивностью. Заметно возросла заболеваемость подростков: по результатам профилактических осмотров различные заболевания регистрируются у 94,5% подростков [2, с. 67].
Получение первичной социологической информации для изучения особенностей самосохранительного поведения осуществлялось посредством опросного метода в форме раздаточного анкетирования. После разъяснения целей и задач опроса респонденты заполняли анкету под наблюдением исследователя самостоятельно. На первом этапе разработана анкета-опросник из 15 вопросов, направленная на выявление у школьников представлений о здоровье и здоровом образе жизни. Второй этап исследования заключался в проведении анкетирования респондентов, а также в статистической обработке полученных данных. Объем выборочной совокупности при проведении исследования составил 252 учащихся 8-10 классов, среди которых 122 юношей (48,4%) и 130 девушек (51,6%). Выборка репрезентативна по половозрастному составу, то есть соответствует характеристике подростков лицея в целом.
",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\ОСОБЕННОСТИ САМОСОХРАНИТЕЛЬНОГО ПОВЕДЕНИЯ ПОДРОСТКОВ.txt
ПИГМЕНТНАЯ КСЕРОДЕРМА. ОСОБЕННОСТИ РАЗВИТИЯ. МЕТОДЫ ЕГО ЛЕЧЕНИЯ,"Пигментная ксеродерма на сегодняшний день до конца неизлечимое, тяжёлое заболевание. Впервые была описана в 1874 году Моризом Капоши в Вене. Позже Джеймс Кливер и Дирк Бутсма показали, что фибробласты больных пигментной ксеродермой (ПК) имеют дефект по эксцизионной репарации (ЭР) ДНК после УФ облучения.[2] Эксцизионная репарация нуклеотидов - это механизм контроля генома, ответственный за удаление повреждений ДНК, в первую очередь ультрафиолетовых фотодимеров. Наследственные дефекты приводят к глубокой светочувствительности и склонному к раку синдрому пигментной ксеродермии или двум прогероидным синдромам: синдромам Кокейна и трихотиодистрофии.[3]Поскольку у большинства больных ПК образуется рак кожи, эти данные указывали, что у нормальных людей, редко болеющих раком кожи, репарация ДНК является важным фактором подавления канцерогенеза.
Результаты одного из исследований, где изучались пациенты с разными формами проявления пигментной ксеродермы:
(Рис. 1) а) Пациент в возрасте 9 месяцев с тяжёлой пузырчатой эритемой скуловой области после короткого пребывания на солнце, глаза и лоб были защищены шляпой. b) Пациентка в возрасте 2 лет у нее на лице появились множественные гиперпигментированные пятна. На ее верхней губе вырос быстро растущий SCC или кератоакантома, а на лбу появилось предраковое поражение. c) Пациент из Северной Африки в возрасте 23 лет с многочисленными гиперпигментированными пятнами на лице. У него на левом крыле носа обнаружен узелковый базально-клеточный рак. Пигментированный базально-клеточный рак присутствует на его левой щеке. На его глазах видны рубцы, при долгом пребывании на солнце. d) Пациент в возрасте 35 лет с неврологической дегенерацией. У него многочисленные гиперпигментированные пятна на открытых солнцу участках: лицо и шея. Прогрессирующая нейросенсорная глухота требует использования слухового аппарата. e) Помутнение роговицы, птеригиум, контактные линзы, выпадение ресниц на нижнем веке. f) Пойкилодермия 35-летнего пациента. g) Потеря алой каймы губ с выступающими телеангиэктазиями и припухлостью губ и передней части языка. h) плоскоклеточный рак передней части языка у африканского мужчины. i) 3-летняя девочка с короткими ломкими волосами, которые редки и обломаны на разной длине. j) Окантовка тигриного хвоста при поляризационной микроскопии.",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\ПИГМЕНТНАЯ КСЕРОДЕРМА. ОСОБЕННОСТИ РАЗВИТИЯ. МЕТОДЫ ЕГО ЛЕЧЕНИЯ.txt
ПРЕДОТВРАЩЕНИЕ ФОРМИРОВАНИЯ РАССТРОЙСТВ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА,"Проблема работоспособности современных людей в последние годы привлекает все большее внимание ученых и врачей, что обусловлено снижением общего потенциала здоровья, высокой заболеваемостью, как населения России в целом, так и рабочей молодежи. Процесс обучения в современных высших профессиональных образовательных учреждениях характеризуется интенсивностью учебных нагрузок, требует высокого уровня умственной работоспособности, что на фоне неблагоприятных экологических и социальных факторов, высокого уровня психоэмоциональных перегрузок современной жизни негативно сказывается на функциональном состоянии и здоровье молодёжи.
Заболевания опорно-двигательного аппарата (международная аббревиатура – MSD) являются распространенной и дорогостоящей проблемой для людей и современных предприятий. MSD являются самой крупной категорией производственных травм, и на их долю приходится почти 30% всех затрат на компенсацию работникам [1].  Заболевания опорно-двигательного аппарата или MSD — это травмы и расстройства, которые влияют на движения человеческого тела или опорнодвигательного аппарата. Причина заболеваний опорно-двигательного аппарата – воздействие факторов риска. Когда человек подвергается воздействию факторов риска MSD, он начинает утомляться. Если усталость опережает систему восстановления их тела, у человека развивается мышечно-скелетный дисбаланс. Со временем, по мере того как усталость продолжает опережать восстановление, а скелетно-мышечный дисбаланс сохраняется, развивается скелетно-мышечное расстройство. Важная роль отводится организации консультаций специалистов медиков на производстве, поскольку большинство работников, добросовестно выполняя свои трудовые обязанности и соблюдая требования техники безопасности, не всегда грамотно распределяют производственную и силовую нагрузку, в результате чего их опорно-двигательный аппарат изнашивается высокими темпами.
Факторы риска MSD можно разделить на две категории: связанные с работой (эргономические) факторы риска и индивидуальные факторы риска. Соответственно, основной причиной MSD является воздействие факторов риска MSD – как факторов риска, связанных с работой, так и индивидуальных факторов риска. Дизайн рабочего места играет решающую роль в развитии MSD. Когда работника просят выполнять работу, которая выходит за рамки возможностей и ограничений его тела, его просят подвергнуть риску свою опорно-двигательную систему. В этих ситуациях объективная оценка конструкции рабочего места свидетельствует о том, что система восстановления рабочего не сможет справиться с усталостью, вызванной выполнением работы. Соответственно, работник подвержен риску развития дисбаланса опорно-двигательного аппарата, а расстройство опорнодвигательного аппарата является неминуемой реальностью [5, 6].",C:\Users\Kur7u\OneDrive\Учеба\БГУИР\7 семестр\ЕЯзИИС\Лабораторная 3\Код\data\ПРЕДОТВРАЩЕНИЕ ФОРМИРОВАНИЯ РАССТРОЙСТВ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА.txt
